अनुयोगद्वार सूत्र		१०० वर्ष ईसापूर्व	जैन ग्रन्थ । इस ग्रन्थ में बड़ी-बड़ी संख्याएं आयी हैं जैसे, 10^96। इसके अलावा अनेक गणितीय संक्रियाओं जैसे घातों के गुण के बारे में बताया गया है				
अनुयोगद्वार सूत्र भाष्य	(अज्ञात)	(अज्ञात)	गणित	अनुयोगद्वार सूत्र की टीका			
अर्धवर्गशास्त्र	नंदन	9वीं श.	समीकरण	 अंशगणना	अर्धवर्ग संस्कृत रूपांतर		
अर्हत्सिद्धांत	गणिताचार्य	12वीं श.	समय-गणना	 अंकगणित	सिद्धांत संज्ञा सर्वोत्तम ज्ञानी		
अलंकारशास्त्र	माधवाचार्य	14वीं श.	द्विघात समीकरण	 त्रिकोणमिति	गणना अलंकारगुणयोजनं		
अंशसमाप्ति	गणिताचार्य	10वीं श.	समीकरण	 विज्ञान का पहलू	सिद्धान्त से निष्कलंक ज्ञान		
आर्यभटीय	आर्यभट	499 ईस्वी	त्रिकोणमिति	 बीजगणित	"खगोलशास्त्र  ""दशमलव प्रणाली"	 ज्या ; वृत्त की परिधि और व्यास का अनुपात लगभग 3.1416 है।	
आर्यभटीय भाष्य   भास्कर प्रथम	 नीलकण्ठ सोमयाजी	 आदि  (विभिन्न काल)   गणित	" खगोलशास्त्र  ""आर्यभटीय की टीकाएं"""				
कणादसूत्र	कणाद	6वीं श.	भौतिक गणना	 त्रिकोणमिति	सिद्धांत निर्दिष्टं गणित		
करण प्रकाश	गणेश दैवज्ञ	1500 ईस्वी	खगोलशास्त्र	 गणित	ग्रहों की गणना के लिए सरल सूत्र।		
करणकुतूहल	भास्कराचार्य	1183 ईस्वी	खगोलशास्त्र	 गणित	इसमें ग्रहों की गणना के लिए नए सूत्र दिए गए हैं।		
करणतिलक	विजयनान्दि	9वीं सदी ई.	खगोलशास्त्र	 गणित	खगोलशास्त्रीय गणनाओं की विधियों का वर्णन।		
करणतिलक भाष्य	(अज्ञात)	(अज्ञात)	खगोलशास्त्र	 गणित	करणतिलक की टीका		
करणपद्धति	परमेश्वर	1400-1460 ई.   खगोलशास्त्र	 त्रिकोणमिति	त्रिकोणमितीय फलनों और खगोलशास्त्रीय गणनाओं पर ग्रंथ।			
करणपद्धति भाष्य	(अज्ञात)	(अज्ञात)	खगोलशास्त्र	 त्रिकोणमिति	करणपद्धति की टीका		
कुट्टक गणित	(अज्ञात)	(अज्ञात)	बीजगणित	कुट्टक (अनिश्चित समीकरण) को हल करने की विधियाँ			
क्वालिटी शास्त्र	भीमेश्वर	10वीं श.	समीकरण	 त्रिकोणमिति	गणितीय सिद्धांतां घटक		
क्षेत्रगणित	(अज्ञात)	(अज्ञात)	"ज्यामिति ""ज्यामितीय आकृतियों के क्षेत्रफल और आयतन की गणना"""				
क्षेत्रगणित भाष्य	(अज्ञात)	(अज्ञात)	ज्यामिति	क्षेत्रगणित की टीका			
खण्डखाद्यक	ब्रह्मगुप्त	665 ई.	खगोलशास्त्र	 गणित	खगोलशास्त्रीय गणनाओं के लिए एक व्यावहारिक पुस्तिका।		
गणित कल्पतरु	अज्ञात	2000 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणित कौमुदी	नारायण पण्डित	1350 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल और जटिल सिद्धान्त।		
गणित चन्द्रिका	अज्ञात	1400 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणित प्रकाश	अज्ञात	1200 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणित प्रदीप	अज्ञात	1300 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणित प्रभाकर	अज्ञात	1800 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणित मंजरी	अज्ञात	1500 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणित रत्नाकर	अज्ञात	1600 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणित सागर	अज्ञात	1700 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणित सार	अज्ञात	1000 ईस्वी	अंकगणित	 बीजगणित	गणित के सरल नियम।		
गणितकूटशास्त्र	राजस्वामिनाथ	6वीं श.	वर्गमूल	 त्रिकोणमिति	गणितीय सिद्धांतिक दृष्टिकोण		
गणितकौमुदी	नारायण पण्डित   1350 ई.	"गणित ""अंकगणित"	" बीजगणित और ज्यामिति का संग्रह"""				
गणितकौमुदी भाष्य	(अज्ञात)	(अज्ञात)	गणित	गणितकौमुदी की टीका			
गणितपाटविधि	धन्वंतरि	10वीं श.	अंशगणना	 अंकगणितीय विधियां	गणनां विज्ञान् समर्पयेत् तात्कालिक		
गणितमुक्तावली	देवराज	16वीं सदी ई.	"गणित ""विभिन्न गणितीय विषयों पर श्लोकबद्ध रचना"""				
गणितमुक्तावली भाष्य	(अज्ञात)	(अज्ञात)	गणित	गणितमुक्तावली की टीका			
गणितरत्न	राजेंद्र पाटव	10वीं श.	गणना	 गुणा सिद्धांत	गुणनायातं गणनासिद्धं		
गणितवर्धन	भास्कराचार्य	12वीं श.	गणना विज्ञान	गणना विकास सूत्र			
गणितशास्त्र	गोविन्दाचार्य	8वीं श.	अनुपात	 गुणनफल	गुणितं तु अनुक्रान्तं योग्यतासंस्थाने		
गणितसार संग्रह	महावीराचार्य	850 ईस्वी	अंकगणित	 बीजगणित	 क्षेत्रमिति	इसमें अंकगणित के सरल नियम दिए गए हैं।	
गणितसारसंग्रह	महावीराचार्य	850 ई.	अंकगणित	 बीजगणित	 ज्यामिति	जैन गणितज्ञ जिन्होंने भिन्न अनुपात और ज्यामिति पर महत्वपूर्ण कार्य किया।	
गणितसारसंग्रह भाष्य	(अज्ञात)	(अज्ञात)	गणित	गणितसारसंग्रह की टीका			
गणितसूत्र	नंदी	7वीं श.	समीकरण	 अंकगणित	अंशद्वारा कार्यनिर्णयनं		
गोलदीपिका	परमेश्वर	1400-1460 ई.   खगोलशास्त्र	खगोल के गोले और उसकी गति का वर्णन।				
गोलदीपिका भाष्य	(अज्ञात)	(अज्ञात)	खगोलशास्त्र	गोलदीपिका की टीका			
गोलविवृत्ति	पृथूदक स्वामी	850 ईस्वी	गोलीय ज्यामिति	 खगोलशास्त्र	गोलाकार पिंडों की गणना।		
गोलाध्याय	भास्कराचार्य	1150 ईस्वी	गोलीय ज्यामिति	 खगोलशास्त्र	गोलाकार पिंडों की गणना के लिए सूत्र।		
चंद्रप्रकाश	मुनीश्वर	1600 ईस्वी	खगोलशास्त्र	 गणित	चंद्र की गति का विस्तृत वर्णन।		
चन्द्रवाक्य	(अज्ञात)	(अज्ञात)	खगोलशास्त्र	 गणित	चन्द्रमा की गति और ग्रहणों की गणना।		
चन्द्रवाक्य भाष्य	(अज्ञात)	(अज्ञात)	खगोलशास्त्र	 गणित	चन्द्रवाक्य की टीका		
